Almighty 	adj
Almond 	n
Almoner 	n
Almost 	adv
Alms 	n
Almshouse 	n
Aloe 	n
Aloft 	predic
Aloud 	adv
Alp 	n
Alpaca 	n
Alpha 	n
Alphabet 	n
Alphanumeric 	adj
Alpha particle 	n
Already 	adv
Alright 	adv
Alsatian 	n
Also 	adv
Also-ran 	n
Altar 	n
Altarpiece 	n
Alter 	v
Altercate 	v
Alter ego 	n
Alter ego 	n
Alternate angles 	n
Alternating current 	n
Alternator 	n
Although 	conj
Altimeter 	n
Altitude 	n
Alto 	n
Altogether 	adv
Altruism 	n
Alum 	n
Alumina 	n
Aluminium 	n
Aluminize 	v
Aluminum 	n
Alumnus 	n
Always 	adv
Alyssum 	n
Am 	abbr
Am 	symb
Amalgam 	n
Amalgamate 	v
Amanuensis 	n
Amaranth 	n
Amaryllis 	n
Amass 	v
Amateur 	n
Amatory 	adj
Amatory 	adj
Amaze 	v
Amazon 	n
Ambassador 	n
Ambergris 	n
Ambidextrous 	adj
Ambience 	n
Ambient 	adj
Ambiguous 	adj
Ambit 	n
Ambition 	n
Ambitious 	adj
Ambivalence 	n
Ambrosia 	n
Ambulance 	n
Ambuscade 	n
Ameliorate 	v
Amen 	int
Amenable 	adj
Amend 	v
Amendment 	n
Amends 	n
Amenity 	n
American dream 	n
American football 	n
Americanism 	n
Americium 	n
Amerind 	adj
Amethyst 	n
Amiable 	adj
Amiable 	adj
Amicable 	adj
Amid 	prep
Amidships 	adv
Amidst 	var
Amine 	n
Amino acid 	n
Amir 	var
Amity 	n
Ammeter 	n
Ammo 	n
Ammonia 	n
Ammonite 	n
Ammunition 	n
Amnesia 	n
Amniocentesis 	n
Amnion 	n
Amoeba 	n
Amok 	adv
Among 	prep
Amoral 	adj
Amorous 	adj
Amorphous 	adj
Amortize 	v
Amour 	n
Amour propre 	n
Ampelopsis 	n
Amperage 	n
Ampere 	n
Ampersand 	n
Amphetamine 	n
Amphibious 	adj
Amphitheatre 	n
Amphitheatre 	n
Amphora 	n
Ample 	adj
Amplifier 	n
Amplify 	v
Amplitude 	n
Amplitude modulation 	n
Ampoule 	n
Ampulla 	n
Amputate 	v
Amuck 	var
Amulet 	n
Amuse 	v
Amusement 	n
Amusement arcade 	n
Anabaptist 	n
Anabolic steroid 	n
Anabolism 	n
Anachronism 	n
Anaconda 	n
Anaemia 	n
Anaemic 	adj
Anaesthesia 	n
